synset	lemma	annotation	goodness label
10472799-n	putra	KEEP	O
02384940-v	mengundang	KEEP	O
04994413-n	manis	KEEP	O
04306847-n	patung	KEEP	Y
02297142-v	ditawar-tawari	KEEP	None
02129718-a	ditetapkan	KEEP	X
15168790-n	subuh	KEEP	Y
13928668-n	jalinan	KEEP	O
00312932-n	pelayaran	KEEP	Y
07657903-n	steak	KEEP	X
14438541-n	reputasi	KEEP	O
10631941-n	juru	KEEP	Y
15165289-n	pagi hari	KEEP	None
07228751-n	sumpah	KEEP	O
80000945-x	wah	KEEP	None
90000109-n	telok blangah hill park	KEEP	None
01456710-a	pepak	DELETE	O
07557434-n	sajian	KEEP	O
05891783-n	dugaan	KEEP	O
02394183-v	memasukkan	DELETE	O
14956325-n	tanah liat	KEEP	Y
90000006-n	ayam buah keluak	KEEP	None
08431437-n	barisan	KEEP	Y
09620794-n	penduduk asli	KEEP	O
06648590-n	testamen	KEEP	L
02506555-a	beragam	KEEP	Y
02871525-n	toko buku	KEEP	O
06431740-n	kitab suci	KEEP	O
00347610-v	mengkritik	DELETE	O
00423702-v	muncul	KEEP	O
01705513-a	jelas	KEEP	O
00158309-r	tepat	KEEP	O
00813978-v	berdiskusi	KEEP	Y
00081725-v	penyembuhan	KEEP	Y
05869584-n	keseluruhan	KEEP	O
02249018-v	beralamat	KEEP	Y
14061805-n	penyakit	KEEP	Y
13306870-n	harga	KEEP	O
04271891-n	pertunjukan	KEEP	O
13926786-n	tempat	DELETE	O
08407619-n	pertunjukan	KEEP	O
00463399-a	laut	KEEP	O
10314836-n	bidan	KEEP	O
06693198-n	pujian	KEEP	O
09787534-n	duta besar	KEEP	None
00089408-r	sangat	KEEP	O
01531957-a	pertengahan	DELETE	O
08630039-n	bhg	DELETE	None
01462005-v	mempergauli	DELETE	O
06364641-n	kesusasteraan	KEEP	None
00013887-a	kaya	KEEP	Y
07555863-n	hidangan	KEEP	L
01249147-v	serutan	KEEP	None
00620752-n	kerja	KEEP	Y
15249636-n	generasi	KEEP	O
00257784-r	tiga kali	KEEP	X
00624026-a	besar	KEEP	Y
02630189-v	menampilkan	KEEP	None
00079107-r	niscaya	KEEP	None
10525436-n	pengecer	KEEP	None
02620587-v	boleh disamakan	DELETE	X
08593262-n	jalur	KEEP	O
07460546-n	maraton	KEEP	Y
02458262-a	angker	KEEP	None
02036755-v	mengantri	KEEP	None
06799897-n	bentuk	DELETE	O
01002740-v	memotret	KEEP	None
02479323-v	menyediakan	KEEP	O
80001580-n	yuba	KEEP	None
00282675-a	berkilau	KEEP	O
00755745-v	sangka	DELETE	Y
01622505-a	terbuka	KEEP	O
00793785-v	menggoda	KEEP	O
06693502-n	puji-pujian	KEEP	O
14526182-n	citarasa	KEEP	None
02627934-v	menyangkut	DELETE	O
08429167-n	rombongan	KEEP	O
02284578-a	tertulis	KEEP	Y
02883344-n	kotak	KEEP	Y
90000123-n	chingay parade	KEEP	None
01148283-a	senang hati	KEEP	None
02065665-a	aneka	KEEP	O
06251781-n	transmisi	KEEP	O
05629682-n	neraka	KEEP	O
00307631-n	perjalanan	KEEP	Y
00668366-a	terakhir	KEEP	L
00029037-r	pun	KEEP	O
10280130-n	maestro	KEEP	O
00034574-n	kebaikan hati	KEEP	X
03788195-n	sultan	KEEP	None
00339934-v	diadakan	KEEP	X
00173338-v	memindahkan organ	DELETE	X
02402825-v	memensiunkan	DELETE	O
00284798-n	berjalan-jalanlah	KEEP	None
