Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
سَمْع	hearing	kuulo	ακοή	pendengaran	聴覚	聽覺	n	słuch	audição	слу̑х	sluh	audición	None	word	noun
هَا	abjudication	hylkääminen	προς	maling	じゃない	兼	n	abiudykacja	amontilhado	где	kje	hueso	ห้องน้ำอยู่ไหน	None	noun
None	abdication	abdikaatio	παραίτηση	turun	None	退位	n	abdykacja	abdicação	абдика́ција	None	abdicación	None	None	noun
إِخْتَصَرَ	abbreviate	lyhentää	συντομεύω	mempersingkat	縮める	缩写	v	skracać	abreviar	skraćívati	None	condensar	None	None	verb
None	abactinal	None	None	abaktinal	None	None	a	None	None	None	None	None	None	None	adj
عَكْس	antonym	antonyymi	αντώνυμο	lawan	対義語	反義詞	n	None	antónimo	антоним	prótipoménka	None	คำตรงกันข้าม	None	noun
إِدْوَارْد	Fabian	Edvard	Εδουάρδος	Andreas	エドワード	愛德華	n	Krystian	Fabiano	А̀ндрија	Édvard	Fabián	แอนดรูว์	None	name
لَفْظٌ	portmanteau	koostesana	συμφυρμός	lakuran	鞄語	混成詞	n	zbitka	palavra-valise	кова̀ница	None	compuesto	คำผสม	None	noun
وُضُوء	abdest	rukouspesu	None	wudhu	None	小淨	n	None	abdeste	а̀бдест	None	abdesto	None	None	noun
دَمَر	abolish	raunioittaa	καταστρέφω	hancur	打破する	破壞	v	zburzyć	destroçar	None	None	destrozar	None	None	verb
يَخْطِفّ	abduct	siepata	απάγω	menculik	誘拐する	誘拐	v	uprowadzać	raptar	oteti	odstraniti	secuestrar	ลักพา	None	verb
None	abbreviation	lyhentäminen	σύντμηση	penyingkatan	省略	縮寫	n	skrócenie	abreviatura	абревија́ција	None	abreviación	None	None	noun
اِخْتِصَار	abbreviation	lyhenne	συντομογραφία	singkatan	略称	縮寫	n	skrót	abreviação	скра̑ћеница	kratica	abreviación	None	None	noun
None	abduction	loitonnus	απαγωγή	abduksi	None	None	n	abdukcja	abdução	None	None	abducción	None	None	noun
None	abduction	sieppaus	απαγωγή	abduksi	誘拐	None	n	None	sequestro	None	ugrabitev	rapto	None	None	noun
None	denotation	perusmerkitys	None	denotasi	None	None	n	None	denotação	None	None	denotación	None	None	noun
إِلْغَاء	abolition	lakkauttaminen	κατάργηση	abolisi	廃止	廢除	n	None	abolição	ukidanje	None	abolición	None	None	noun
مَسْلَخ	abattoir	teurastamo	σφαγείο	rumah	屠畜場	屠宰場	n	rzeźnia	matadouro	клаоница	klavnica	matadero	โรงฆ่าสัตว์	None	noun
دَلَالَة	connotation	konnotaatio	υποδήλωση	konotasi	含意	含義	n	konotacja	conotação	konotacija	None	connotación	None	None	noun
None	absorbing	mukaansatempaava	None	penyerap	None	None	a	None	absorvente	zanìmljiv	None	absorbente	None	None	adj
بَقَاء	abode	viivytys	None	baka	None	None	n	None	espera	None	None	retraso	None	None	noun
None	aboriginal	alkuperäinen	ιθαγενής	pribumi	土着の	土著	a	aborygeński	aborígene	autohtono	None	aborigen	None	None	adj
None	abhor	inhota	None	membenci	忌む	痛恨	v	czuć	abominar	None	None	aborrecer	เกลียด	None	verb
ألِفْبَائِيّ	alphabetical	aakkos-	αλφαβητικός	alfabetis	アルファベット順の	None	a	alfabetyczny	alfabético	ȁbecēdnī	None	None	None	None	adj
None	patronage	None	None	patronasi	None	None	n	None	clientelismo	None	None	None	None	None	noun
None	absolution	None	None	pembebasan	解放	None	n	absolucja	absolvição	odrješenje	None	absolución	None	None	noun
None	absolution	None	None	absolusi	釈放	None	n	None	absolvição	None	None	absolución	None	None	noun
None	absolution	synninpäästö	None	absolusi	None	None	n	None	None	None	None	absolución	None	None	noun
قَابِل	acceptor	vastaanottaja	None	penerima	None	None	n	None	aceitador	а̀кцептор	None	aceptador	None	None	noun
حَامِض	acceptor	happo	οξύ	asam	錯体	酸	n	akceptor	ácido	киселина	kislina	complejo	กรด	None	noun
None	acceptor	ulottuvuus	διάσταση	matra	次元	慣性	n	akceptor	dimensão	gradijent	dimenzija	inercia	มิติ	None	noun
None	accrual	siirtovelka	None	akrual	None	None	n	None	None	None	None	None	None	None	noun
دُمَّل	abscess	paise	απόστημα	abses	膿瘍	膿腫	n	ropień	abscesso	čȉr	None	absceso	None	None	noun
الْمَذْكُورُ	above-mentioned	yllä	προαναφερθείς	tersebut	上述	上述的	a	powyższy	supracitado	gore	None	sobredicho	None	None	adj
None	accurately	tarkasti	None	secara	正確に	None	a	dokładnie	exatamente	tačno	None	None	None	None	adv
فِيكْتُورِيَا	Fanny	Fanni	Βικτωρία	Mariam	ビクトリア	維多利亞	n	Wiktoria	Vitória	Вѝкто̄рија	Lavra	Adelaida	ฮันนาห์	None	name
None	GDP	BKT	ΑΕΠ	PDB	None	國內生產總值	n	PKB	PIB	БДП	None	PBI	None	None	noun
أَكَادِيمِيّ	academian	akateemikko	ακαδημαϊκός	akademikus	アカデミー会員	院士	n	akademik	acadêmico	акадѐмик	None	académico	นักวิชาการ	None	noun
None	abscissa	abskissa	τετμημένη	absis	None	横坐标	n	odcięta	abcissa	None	None	abscisa	None	None	noun
None	crude	raakaöljy	αργό	minyak	None	原油	n	ropa	petróleo	None	None	crudo	None	None	noun
مقابلة	achronic	oppositio	αντίθεση	Kartika	ケンタウルス	半人馬座	n	achroniczny	Plêiades	Плејаде	None	cuadratura	กระจุกดาวลูกไก่	None	noun
