synset	lemma	annotation	goodness label	confidence	language	prediction label
01777210-v	ganal	DELETE	O	1	English	DELETE
01072565-n	kepuasan	KEEP	O	1	Japanese	KEEP
02344381-v	hadiahkan	KEEP	X	4	Portuguese, Finnish, English, Japanese	KEEP
07576182-n	semi-prasmanan	KEEP	None	4	Spanish, Finnish, English, Japanese	KEEP
13778671-n	parkir	KEEP	O	None	None	KEEP
06308765-n	akhiran	KEEP	O	3	Portuguese, Spanish, Japanese	KEEP
02124253-a	berfungsi	KEEP	O	None	None	KEEP
01728476-a	yang lalu	KEEP	X	None	None	KEEP
03061081-a	disiplin	KEEP	O	1	English	KEEP
10735298-n	tiran	KEEP	O	6	Slovene, Spanish, Polish, Finnish, Portuguese, English	KEEP
07707451-n	sayur	KEEP	Y	10	Slovene, Spanish, Polish, Japanese, Greek, Finnish, Thai, Portuguese, Mandarin Chinese, English	KEEP
01179865-v	memakan	DELETE	O	1	English	DELETE
01629958-v	hadirkan	KEEP	None	1	Finnish	KEEP
00649481-v	menjelajah	KEEP	O	1	Finnish	KEEP
90000335-n	wanton mee	KEEP	None	None	None	KEEP
00588797-a	sepuas	KEEP	None	3	Slovene, Finnish, Polish	KEEP
80001382-x	oh	KEEP	None	None	None	KEEP
03670849-n	dawai	DELETE	O	1	Portuguese	KEEP
12201580-n	cokelat	KEEP	O	6	Polish, Japanese, Greek, Finnish, Portuguese, English	KEEP
01010271-a	terakhir	KEEP	Y	None	None	KEEP
07007945-n	drama	KEEP	Y	1	Portuguese	KEEP
02924116-n	no	KEEP	None	1	English	KEEP
01647229-v	dirikan	KEEP	X	1	Greek	KEEP
02395115-a	enak	KEEP	O	3	Portuguese, Finnish, Spanish	KEEP
02068277-a	berbeda	KEEP	None	None	None	KEEP
05651971-n	panca-indera	KEEP	None	2	Portuguese, English	KEEP
01745846-a	halus	KEEP	O	None	None	KEEP
90000026-n	Dilindungi Hak	KEEP	None	None	None	KEEP
00037641-r	begitu	KEEP	O	1	Finnish	KEEP
02267686-a	kapan	KEEP	None	None	None	KEEP
02169891-v	mendengarkan	KEEP	None	6	Spanish, Japanese, Finnish, Thai, Portuguese, English	KEEP
10112591-n	teman	KEEP	O	1	Japanese	KEEP
11464143-n	gravitasi	KEEP	None	1	Finnish	KEEP
03306207-n	ekspor	KEEP	O	2	Mandarin Chinese, English	KEEP
08566028-n	ujung	KEEP	O	1	Slovene	KEEP
00770437-v	membuat	KEEP	O	1	English	DELETE
05981230-n	pangsa	KEEP	None	1	Portuguese	KEEP
00933420-n	kerajinan	KEEP	None	1	Spanish	KEEP
00046344-n	laga	KEEP	None	None	None	KEEP
04952944-n	cahaya	KEEP	O	None	None	KEEP
01090335-v	tengkar	KEEP	Y	2	Portuguese, Spanish	KEEP
09328904-n	danau	KEEP	O	2	Portuguese, Spanish	KEEP
07916041-n	martini	KEEP	O	None	None	KEEP
02599636-v	mengarik	DELETE	O	1	Portuguese	KEEP
00892413-n	lokakarya	KEEP	None	1	Portuguese	KEEP
02397732-a	berbumbu	KEEP	None	None	None	KEEP
01716882-v	dipersembahkan	KEEP	X	1	Slovene	KEEP
07736692-n	spinach	KEEP	None	None	None	KEEP
03542333-n	hotel	KEEP	Y	None	None	KEEP
08394922-n	ming	KEEP	None	1	Finnish	KEEP
03291819-n	amplop	KEEP	X	2	Portuguese, Spanish	KEEP
07812184-n	bumbu	KEEP	L	4	Portuguese, Finnish, Serbo-Croatian, Slovene	KEEP
06706676-n	medali	KEEP	Y	1	English	KEEP
00524682-v	menjelma menjadi	DELETE	X	1	Finnish	KEEP
07060167-n	musik rakyat	KEEP	O	1	English	KEEP
00327145-v	tim	KEEP	None	1	English	KEEP
00492745-r	sesungguh	KEEP	None	None	None	KEEP
09917593-n	anak muda	KEEP	O	1	English	KEEP
00579881-a	berani	KEEP	L	None	None	KEEP
13793330-n	penghubung	KEEP	O	1	Finnish	KEEP
00035603-v	memandikan	KEEP	O	1	English	DELETE
00155143-v	tambah	KEEP	Y	1	Spanish	KEEP
01156834-v	mencernakan	DELETE	O	1	English	DELETE
15162210-n	festival	KEEP	None	None	None	KEEP
01233156-n	kunjung-mengunjungi	KEEP	None	6	Slovene, Polish, Greek, Arabic, Portuguese, English	KEEP
80000605-r	seolah	KEEP	None	None	None	KEEP
05725527-n	panas	KEEP	O	1	English	KEEP
08588152-n	sebelah dlm,dlm	DELETE	X	None	None	KEEP
01410606-a	bagai	KEEP	O	1	English	KEEP
03800933-n	musik alat	KEEP	None	5	Slovene, Japanese, Greek, Portuguese, English	KEEP
13903576-n	pinggir	KEEP	O	1	Portuguese	KEEP
04763925-n	keunikan	KEEP	O	1	English	KEEP
02616386-v	merupakan	KEEP	Y	1	Finnish	KEEP
13790912-n	per	KEEP	None	1	Finnish	KEEP
13945919-n	status	KEEP	Y	1	Portuguese	KEEP
00927017-a	yang masih ada	KEEP	None	None	None	KEEP
03141609-a	‘ras’	KEEP	None	None	None	KEEP
01161233-a	memfitnah	KEEP	None	None	None	KEEP
01999798-v	ke	DELETE	O	2	Portuguese, Spanish	KEEP
07006951-n	produksi	KEEP	Y	4	Portuguese, Greek, Spanish, English	KEEP
01798936-v	mengecewakan	KEEP	Y	1	English	KEEP
90000321-n	thaipusam	KEEP	None	None	None	KEEP
05022457-n	kelenturan	KEEP	O	None	None	KEEP
00378664-v	membakar	KEEP	O	1	English	DELETE
00599992-v	membaca	DELETE	O	1	Arabic	KEEP
03299261-n	dan sebagainya	KEEP	X	1	Mandarin Chinese	KEEP
09945319-n	komunis	KEEP	O	1	Polish	KEEP
00214761-r	menarik	KEEP	None	None	None	KEEP
01740207-a	patriotik	KEEP	O	3	Slovene, Finnish, English	KEEP
00305821-r	suntuk	KEEP	L	1	English	KEEP
07020538-n	tari-tarian	KEEP	Y	2	Portuguese, Spanish	KEEP
00310666-n	tur	KEEP	O	1	English	KEEP
06887726-n	pameran	KEEP	O	1	Spanish	KEEP
14006945-n	laga	KEEP	None	1	English	KEEP
02620587-v	terdiri daripada	DELETE	X	1	Finnish	KEEP
00061677-r	tiba-tiba	KEEP	O	2	Portuguese, Finnish	KEEP
01590484-a	bangsawan	KEEP	O	None	None	KEEP
09816771-n	rekan	KEEP	O	1	Japanese	KEEP
90000126-n	crystal jade kitchen	KEEP	None	None	None	KEEP
00001740-n	hakikat	DELETE	O	1	Finnish	KEEP
90000090-n	semenanjung melayu	KEEP	None	None	None	KEEP
02655135-v	berada	KEEP	O	1	Finnish	KEEP
01849221-v	bergerak ke arah	KEEP	X	2	Finnish, English	KEEP
02204692-v	punya	KEEP	O	1	English	DELETE
02194286-v	mencoba	KEEP	O	1	English	DELETE
00120675-v	membuat	KEEP	O	1	Spanish	KEEP
13988498-n	negara	DELETE	O	1	English	KEEP
03810952-n	monumen nasional	KEEP	X	None	None	KEEP
01493173-a	masak	KEEP	Y	5	Slovene, Japanese, Finnish, Portuguese, English	KEEP
13910384-n	kawasan	DELETE	O	1	Spanish	KEEP
07464725-n	pertandingan	KEEP	Y	1	Polish	KEEP
06099269-n	elektronik	KEEP	Y	None	None	KEEP
02020590-v	peroleh	DELETE	X	2	Spanish, Finnish	KEEP
80000622-a	entah	KEEP	None	None	None	KEEP
00563330-n	permata tiruan	KEEP	X	None	None	KEEP
01104026-a	istimewa	KEEP	X	None	None	KEEP
05641959-n	keahlian	KEEP	Y	1	Spanish	KEEP
08622950-n	tempat	DELETE	O	2	Finnish, English	KEEP
02548820-a	basah	KEEP	O	None	None	KEEP
01089778-n	dana	KEEP	Y	1	Greek	KEEP
06282651-n	bahasa	KEEP	Y	2	Portuguese, Polish	KEEP
01221542-v	lengket	KEEP	O	None	None	KEEP
90000323-n	cakue	KEEP	None	None	None	KEEP
09917593-n	anak	KEEP	O	1	English	KEEP
00836236-v	melambangkan	KEEP	O	1	Slovene	KEEP
02951843-n	tenda	KEEP	O	None	None	KEEP
14050871-n	wajah yang merah	DELETE	X	None	None	KEEP
01121757-a	menakjubkan	KEEP	O	None	None	KEEP
02848806-n	pisau	KEEP	L	1	English	KEEP
01206318-a	atas	KEEP	O	None	None	KEEP
80000120-n	kinokuniya	KEEP	None	None	None	KEEP
15163797-n	hari minggu	KEEP	None	1	English	KEEP
01380122-v	menyebarkan	DELETE	O	1	English	DELETE
02096167-v	putar	DELETE	Y	4	Portuguese, Finnish, Thai, Japanese	KEEP
03748162-n	city	KEEP	None	None	None	KEEP
08429052-n	jajaran	KEEP	O	2	Spanish, English	KEEP
01687167-a	baru	KEEP	O	None	None	KEEP
03895866-n	kereta	KEEP	O	1	English	KEEP
00451510-a	erat	KEEP	Y	2	Finnish, Polish	KEEP
08624385-n	pos	KEEP	O	1	English	KEEP
01673815-a	umum	KEEP	O	None	None	KEEP
00948514-a	luar	KEEP	O	None	None	KEEP
10280674-n	pesulap	KEEP	None	None	None	KEEP
02702508-v	insan	DELETE	O	1	Finnish	KEEP
02448185-v	membentuk	KEEP	Y	1	English	KEEP
07601999-n	cokelat	KEEP	O	7	Slovene, Polish, Japanese, Greek, Finnish, Mandarin Chinese, English	KEEP
03114041-n	kostum	KEEP	O	3	Finnish, English, Japanese	KEEP
10640620-n	istri	KEEP	None	2	English, Japanese	KEEP
00547616-n	pukulan	KEEP	O	1	Japanese	KEEP
90000057-n	Kuil Relik Gigi Sang	KEEP	None	None	None	KEEP
07019172-n	musikal	KEEP	O	None	None	KEEP
02349604-a	bawah	KEEP	O	None	None	KEEP
00038625-r	memang	KEEP	O	4	Portuguese, Finnish, Thai, Japanese	KEEP
13863771-n	barisan	DELETE	O	1	Japanese	KEEP
05399847-n	darah	KEEP	Y	1	English	KEEP
08871007-n	inggris	KEEP	O	1	Finnish	KEEP
07926920-n	minuman campuran anggur	DELETE	X	None	None	KEEP
01085098-n	pembagian	KEEP	None	1	English	KEEP
01582409-v	berbenam	DELETE	O	1	Finnish	KEEP
02621395-v	membuatkan	DELETE	O	1	Finnish	KEEP
02237782-v	memberikan	KEEP	O	1	Slovene	KEEP
15121406-n	sejarah	KEEP	Y	1	Polish	KEEP
07626602-n	gula	DELETE	O	None	None	KEEP
02388403-v	mendidik	KEEP	O	1	Arabic	KEEP
02732798-v	menampung	KEEP	O	1	Finnish	KEEP
07866723-n	popiah	KEEP	X	2	Finnish, Polish	KEEP
02205272-v	menawan	DELETE	O	1	Finnish	KEEP
08544593-n	pelosok	KEEP	O	None	None	KEEP
02398608-a	tajam	KEEP	O	None	None	KEEP
03781244-n	vihara	KEEP	None	1	Thai	KEEP
04468005-n	kereta	KEEP	None	1	Portuguese	KEEP
03671668-n	bentuk	DELETE	O	2	Polish, English	KEEP
07416714-n	saat	KEEP	O	1	Finnish	KEEP
13581067-n	mayoritas	KEEP	None	5	Slovene, Spanish, Finnish, Portuguese, English	KEEP
07560652-n	makanan	KEEP	O	1	Spanish	KEEP
00292937-a	sibuk	KEEP	Y	6	Slovene, Japanese, Finnish, Portuguese, Mandarin Chinese, English	KEEP
00613018-v	kehilangan	KEEP	O	1	Slovene	KEEP
00658052-v	tata	KEEP	Y	2	Spanish, Finnish	KEEP
01941093-v	menerbangkan	KEEP	O	1	English	DELETE
06773434-n	perjanjian	KEEP	Y	1	Polish	KEEP
02165304-v	menoleh	KEEP	O	None	None	KEEP
01427127-v	mengarik	DELETE	O	1	English	DELETE
00927017-a	yang ada	KEEP	X	None	None	KEEP
00759944-v	shalat	KEEP	X	6	Slovene, Japanese, Greek, Finnish, Portuguese, English	KEEP
08955951-n	seoul	KEEP	None	None	None	KEEP
12582231-n	kelapa	KEEP	None	1	English	KEEP
08646566-n	arena	KEEP	O	1	Slovene	KEEP
06784639-n	teka-teki	KEEP	None	None	None	KEEP
80000849-n	ronggeng	KEEP	None	None	None	KEEP
08981244-n	filipina	KEEP	X	5	Polish, Greek, Finnish, Portuguese, English	KEEP
07151380-n	ungkapan	KEEP	Y	1	Portuguese	KEEP
05098942-n	luas	KEEP	Y	1	Polish	KEEP
13613294-n	m²	KEEP	X	5	Polish, Japanese, Finnish, Thai, Mandarin Chinese	KEEP
01664172-v	sedia	DELETE	Y	1	Finnish	KEEP
00067129-v	sesenggukan	KEEP	L	None	None	KEEP
06878071-n	senyuman	KEEP	Y	3	Mandarin Chinese, English, Thai	KEEP
03289268-n	ukiran	KEEP	O	None	None	KEEP
80000683-x	ha	KEEP	None	None	None	KEEP
01999218-v	menuju	DELETE	O	1	Arabic	KEEP
01000214-v	tercatat	KEEP	L	1	English	KEEP
07258664-n	referensi	KEEP	None	1	Spanish	KEEP
03113835-n	pakaian	KEEP	O	5	Slovene, Japanese, Greek, Finnish, English	KEEP
00713167-v	berhubung	KEEP	None	1	Finnish	KEEP
01044730-a	santai	KEEP	None	None	None	KEEP
01569566-v	pasang	KEEP	Y	4	Portuguese, Finnish, English, Serbo-Croatian	KEEP
09617867-n	juru	KEEP	Y	1	English	KEEP
07557165-n	penganan	KEEP	None	1	English	KEEP
13562133-n	penyimpanan	KEEP	O	1	Japanese	KEEP
08247021-n	duet	KEEP	L	None	None	KEEP
08168978-n	negara	KEEP	Y	1	Spanish	KEEP
02006834-v	menggenjot	DELETE	O	1	English	DELETE
08997487-n	negeri singa	KEEP	None	2	Portuguese, English	KEEP
00259019-r	langsung	KEEP	O	1	English	KEEP
01462005-v	gaulkan	DELETE	X	2	Greek, English	KEEP
76100079-x	utas	KEEP	None	None	None	KEEP
01969150-a	setiap tahun	KEEP	X	None	None	KEEP
00931467-v	berarti	KEEP	O	1	English	DELETE
00922051-a	glamor	KEEP	O	None	None	KEEP
00726153-v	mencengangkan	KEEP	O	2	Portuguese, Finnish	KEEP
00004475-n	benda hidup	DELETE	O	1	Spanish	KEEP
08223802-n	masyarakat	KEEP	O	1	Greek	KEEP
00082308-r	di sana	KEEP	O	3	Portuguese, Finnish, Spanish	KEEP
07978423-n	mitologi	KEEP	O	5	Slovene, Polish, Greek, Finnish, English	KEEP
08430568-n	talian	DELETE	None	1	Spanish	KEEP
03849814-n	teater opera	KEEP	X	None	None	KEEP
00568304-a	lepas	KEEP	None	None	None	KEEP
07818277-n	garlic	KEEP	None	1	English	KEEP
00276862-a	teduh	KEEP	O	None	None	KEEP
05790758-n	favorit	KEEP	None	3	Portuguese, English, Japanese	KEEP
02296726-v	menawarkan	KEEP	O	1	English	DELETE
14326607-n	sakit kepala	KEEP	None	None	None	KEEP
00114431-n	tarik	KEEP	O	1	English	KEEP
00347610-v	bermain muzik	DELETE	X	1	English	DELETE
02701210-v	memuatkan	DELETE	O	1	Slovene	KEEP
13769033-n	sepoci	KEEP	None	1	Thai	KEEP
09291513-n	biji buah	KEEP	None	None	None	KEEP
